feature,slice_value,support,base_error_rate,lens_error_rate,delta_error
stats.lighting.condition,overcast_neutral,270,0.18888888888888888,0.17037037037037037,-0.018518518518518517
stats.lighting.color_temperature,cool_tone,171,0.1111111111111111,0.13450292397660818,0.023391812865497075
stats.lighting.color_temperature,warm_tone,371,0.18059299191374664,0.16172506738544473,-0.01886792452830191
analysis.video_analysis.editing_rhythm,fast,68,0.19117647058823528,0.14705882352941177,-0.04411764705882351
analysis.video_analysis.editing_rhythm,moderate,67,0.208955223880597,0.22388059701492538,0.014925373134328374
analysis.video_analysis.editing_rhythm,slow,336,0.1488095238095238,0.1488095238095238,0.0
analysis.video_analysis.editing_rhythm,very_fast,71,0.1267605633802817,0.11267605633802817,-0.014084507042253516
analysis.video_analysis.color_tone,cool_tone,171,0.1111111111111111,0.13450292397660818,0.023391812865497075
analysis.video_analysis.color_tone,warm_tone,371,0.18059299191374664,0.16172506738544473,-0.01886792452830191
analysis.video_analysis.lighting_style,high_contrast,351,0.14814814814814814,0.14814814814814814,0.0
analysis.video_analysis.lighting_style,medium_contrast,173,0.19653179190751446,0.1676300578034682,-0.028901734104046256
analysis.video_analysis.lighting_style,soft_low_contrast,18,0.0,0.1111111111111111,0.1111111111111111
analysis.video_analysis.shot_types,long_shot,1,0.0,0.0,0.0
analysis.video_analysis.shot_types,medium_shot,541,0.1589648798521257,0.1534195933456562,-0.005545286506469516
analysis.video_analysis.camera_movements,dolly_in,59,0.13559322033898305,0.1864406779661017,0.05084745762711865
analysis.video_analysis.camera_movements,dolly_out,16,0.1875,0.1875,0.0
analysis.video_analysis.camera_movements,pan_horizontal,48,0.2708333333333333,0.25,-0.020833333333333315
analysis.video_analysis.camera_movements,static_shot,375,0.152,0.14133333333333334,-0.010666666666666658
analysis.video_analysis.camera_movements,tilt_vertical,44,0.11363636363636363,0.09090909090909091,-0.02272727272727272
analysis.video_analysis.composition_styles,rule_of_thirds,541,0.1589648798521257,0.1534195933456562,-0.005545286506469516
analysis.video_analysis.composition_styles,symmetrical_composition,1,0.0,0.0,0.0
analysis.video_analysis.overall_style,documentary_style|narrative_style,170,0.11176470588235295,0.13529411764705881,0.023529411764705868
analysis.video_analysis.overall_style,documentary_style|narrative_style|warm_mood,370,0.1810810810810811,0.16216216216216217,-0.01891891891891892
analysis.video_analysis.overall_style,documentary_style|warm_mood,1,0.0,0.0,0.0
analysis.video_analysis.overall_style,warm_mood,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|dolly_in|medium_shot|high_contrast|documentary_style|slow|rule_of_thirds|narrative_style,8,0.0,0.125,0.125
analysis.style_tags,cool_tone|dolly_in|medium_shot|medium_contrast|documentary_style|slow|rule_of_thirds|narrative_style,3,0.0,0.0,0.0
analysis.style_tags,cool_tone|dolly_in|very_fast|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|dolly_in|very_fast|medium_shot|medium_contrast|documentary_style|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|fast|dolly_in|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,6,0.0,0.0,0.0
analysis.style_tags,cool_tone|fast|static_shot|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,16,0.0625,0.0625,0.0
analysis.style_tags,cool_tone|fast|static_shot|medium_shot|medium_contrast|documentary_style|rule_of_thirds|narrative_style,5,0.6,0.6,0.0
analysis.style_tags,cool_tone|medium_shot|documentary_style|tilt_vertical|slow|soft_low_contrast|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|medium_shot|high_contrast|documentary_style|tilt_vertical|slow|rule_of_thirds|narrative_style,4,0.25,0.25,0.0
analysis.style_tags,cool_tone|medium_shot|medium_contrast|documentary_style|slow|rule_of_thirds|narrative_style|dolly_out,2,0.0,0.0,0.0
analysis.style_tags,cool_tone|medium_shot|medium_contrast|documentary_style|tilt_vertical|slow|rule_of_thirds|narrative_style,2,0.0,0.0,0.0
analysis.style_tags,cool_tone|slow|narrative_style|rule_of_thirds|documentary_style|high_contrast|medium_shot,2,0.0,0.0,0.0
analysis.style_tags,cool_tone|slow|narrative_style|rule_of_thirds|documentary_style|medium_contrast|medium_shot,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|documentary_style|slow|soft_low_contrast|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|high_contrast|documentary_style|slow|rule_of_thirds|narrative_style,25,0.16,0.16,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|high_contrast|moderate|documentary_style|rule_of_thirds|narrative_style,6,0.0,0.16666666666666666,0.16666666666666666
analysis.style_tags,cool_tone|static_shot|medium_shot|medium_contrast|documentary_style|slow|rule_of_thirds|narrative_style,25,0.04,0.04,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|medium_contrast|moderate|documentary_style|rule_of_thirds|narrative_style,5,0.4,0.4,0.0
analysis.style_tags,cool_tone|static_shot|medium_shot|moderate|documentary_style|soft_low_contrast|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,cool_tone|static_shot|very_fast|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,8,0.125,0.125,0.0
analysis.style_tags,cool_tone|static_shot|very_fast|medium_shot|medium_contrast|documentary_style|rule_of_thirds|narrative_style,8,0.0,0.0,0.0
analysis.style_tags,cool_tone|very_fast|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style|dolly_out,1,1.0,1.0,0.0
analysis.style_tags,cool_tone|very_fast|medium_shot|medium_contrast|documentary_style|tilt_vertical|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,dolly_in|medium_shot|high_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,18,0.16666666666666666,0.16666666666666666,0.0
analysis.style_tags,dolly_in|medium_shot|high_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,dolly_in|medium_shot|medium_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,8,0.25,0.375,0.125
analysis.style_tags,dolly_in|medium_shot|medium_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,1.0,1.0,0.0
analysis.style_tags,dolly_in|very_fast|medium_shot|documentary_style|warm_mood|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,dolly_in|very_fast|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,2,0.5,0.5,0.0
analysis.style_tags,dolly_in|very_fast|medium_shot|medium_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,dolly_out|high_contrast|narrative_style|cool_tone|slow|rule_of_thirds|medium_shot|documentary_style,2,0.0,0.0,0.0
analysis.style_tags,fast|dolly_in|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,fast|medium_shot|high_contrast|documentary_style|warm_mood|tilt_vertical|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,fast|static_shot|medium_shot|documentary_style|warm_mood|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,fast|static_shot|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,24,0.125,0.125,0.0
analysis.style_tags,fast|static_shot|medium_shot|medium_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,8,0.25,0.125,-0.125
analysis.style_tags,high_contrast|narrative_style|cool_tone|slow|rule_of_thirds|medium_shot|tilt_vertical|documentary_style,1,0.0,0.0,0.0
analysis.style_tags,high_contrast|narrative_style|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|fast|warm_mood|warm_tone,1,1.0,0.0,-1.0
analysis.style_tags,high_contrast|narrative_style|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|very_fast|warm_mood|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,high_contrast|narrative_style|slow|dolly_in|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,3,0.0,0.0,0.0
analysis.style_tags,high_contrast|narrative_style|slow|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,high_contrast|narrative_style|slow|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|warm_mood|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|cool_tone|rule_of_thirds|medium_shot|documentary_style|fast,1,0.0,0.0,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|cool_tone|rule_of_thirds|medium_shot|documentary_style|very_fast,3,0.3333333333333333,0.3333333333333333,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|cool_tone|slow|rule_of_thirds|medium_shot|documentary_style,3,0.0,0.0,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|moderate|warm_mood|warm_tone,3,0.0,0.0,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|very_fast|warm_mood|warm_tone,5,0.2,0.2,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,6,0.16666666666666666,0.16666666666666666,0.0
analysis.style_tags,medium_shot|high_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone|dolly_out,6,0.16666666666666666,0.16666666666666666,0.0
analysis.style_tags,medium_shot|high_contrast|documentary_style|warm_mood|tilt_vertical|slow|rule_of_thirds|narrative_style|warm_tone,19,0.15789473684210525,0.10526315789473684,-0.05263157894736842
analysis.style_tags,medium_shot|high_contrast|moderate|documentary_style|tilt_vertical|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,1.0,1.0,0.0
analysis.style_tags,medium_shot|medium_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone|dolly_out,3,0.0,0.0,0.0
analysis.style_tags,medium_shot|medium_contrast|documentary_style|warm_mood|tilt_vertical|slow|rule_of_thirds|narrative_style|warm_tone,6,0.0,0.0,0.0
analysis.style_tags,medium_shot|medium_contrast|moderate|documentary_style|tilt_vertical|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,narrative_style|cool_tone|dolly_in|rule_of_thirds|medium_shot|documentary_style|medium_contrast|very_fast,1,0.0,1.0,1.0
analysis.style_tags,narrative_style|cool_tone|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|medium_contrast|moderate,1,0.0,0.0,0.0
analysis.style_tags,narrative_style|cool_tone|slow|dolly_in|rule_of_thirds|medium_shot|documentary_style|medium_contrast,1,0.0,0.0,0.0
analysis.style_tags,narrative_style|cool_tone|slow|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|medium_contrast,1,1.0,1.0,0.0
analysis.style_tags,narrative_style|cool_tone|slow|pan_horizontal|soft_low_contrast|rule_of_thirds|medium_shot|documentary_style,1,0.0,0.0,0.0
analysis.style_tags,narrative_style|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|medium_contrast|moderate|warm_mood|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,narrative_style|slow|dolly_in|rule_of_thirds|medium_shot|documentary_style|medium_contrast|warm_mood|warm_tone,1,1.0,1.0,0.0
analysis.style_tags,narrative_style|slow|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|medium_contrast|warm_mood|warm_tone,3,0.6666666666666666,0.0,-0.6666666666666666
analysis.style_tags,narrative_style|slow|soft_low_contrast|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|warm_mood|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,narrative_style|static_shot|cool_tone|rule_of_thirds|medium_shot|documentary_style|medium_contrast|moderate,3,0.0,0.0,0.0
analysis.style_tags,narrative_style|static_shot|cool_tone|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast,5,0.0,0.0,0.0
analysis.style_tags,narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|fast|medium_contrast|warm_mood|warm_tone,2,1.0,0.5,-0.5
analysis.style_tags,narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|medium_contrast|moderate|warm_mood|warm_tone,2,0.5,0.5,0.0
analysis.style_tags,narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|medium_contrast|very_fast|warm_mood|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast|warm_mood|warm_tone,8,0.375,0.25,-0.125
analysis.style_tags,pan_horizontal|cool_tone|fast|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,2,0.5,0.5,0.0
analysis.style_tags,pan_horizontal|cool_tone|medium_shot|high_contrast|documentary_style|slow|rule_of_thirds|narrative_style,5,0.0,0.0,0.0
analysis.style_tags,pan_horizontal|cool_tone|medium_shot|high_contrast|moderate|documentary_style|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,pan_horizontal|cool_tone|medium_shot|medium_contrast|moderate|documentary_style|rule_of_thirds|narrative_style,3,0.6666666666666666,0.6666666666666666,0.0
analysis.style_tags,pan_horizontal|cool_tone|medium_shot|moderate|documentary_style|soft_low_contrast|rule_of_thirds|narrative_style,1,0.0,1.0,1.0
analysis.style_tags,pan_horizontal|cool_tone|very_fast|medium_shot|medium_contrast|documentary_style|rule_of_thirds|narrative_style,1,0.0,0.0,0.0
analysis.style_tags,pan_horizontal|medium_shot|documentary_style|warm_mood|slow|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,2,0.0,0.5,0.5
analysis.style_tags,pan_horizontal|medium_shot|high_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,10,0.4,0.4,0.0
analysis.style_tags,pan_horizontal|medium_shot|high_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,2,0.0,0.0,0.0
analysis.style_tags,pan_horizontal|medium_shot|medium_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,4,0.0,0.0,0.0
analysis.style_tags,pan_horizontal|medium_shot|medium_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,pan_horizontal|medium_shot|moderate|documentary_style|warm_mood|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,pan_horizontal|very_fast|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,3,0.3333333333333333,0.3333333333333333,0.0
analysis.style_tags,pan_horizontal|very_fast|medium_shot|medium_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,3,0.3333333333333333,0.3333333333333333,0.0
analysis.style_tags,slow|cool_tone|narrative_style|rule_of_thirds|documentary_style|dolly_in|medium_contrast|medium_shot,1,0.0,0.0,0.0
analysis.style_tags,slow|narrative_style|rule_of_thirds|warm_tone|documentary_style|warm_mood|high_contrast|dolly_out|medium_shot,1,1.0,1.0,0.0
analysis.style_tags,slow|narrative_style|rule_of_thirds|warm_tone|documentary_style|warm_mood|high_contrast|medium_shot,12,0.16666666666666666,0.16666666666666666,0.0
analysis.style_tags,slow|narrative_style|rule_of_thirds|warm_tone|documentary_style|warm_mood|static_shot|high_contrast|medium_shot,1,0.0,0.0,0.0
analysis.style_tags,static_shot|long_shot|cool_tone|soft_low_contrast|documentary_style|warm_mood,1,0.0,0.0,0.0
analysis.style_tags,static_shot|medium_shot|documentary_style|warm_mood|slow|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,3,0.0,0.0,0.0
analysis.style_tags,static_shot|medium_shot|high_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,94,0.13829787234042554,0.1595744680851064,0.021276595744680854
analysis.style_tags,static_shot|medium_shot|high_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,17,0.29411764705882354,0.23529411764705882,-0.05882352941176472
analysis.style_tags,static_shot|medium_shot|medium_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,29,0.2413793103448276,0.20689655172413793,-0.03448275862068967
analysis.style_tags,static_shot|medium_shot|medium_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,13,0.15384615384615385,0.15384615384615385,0.0
analysis.style_tags,static_shot|medium_shot|moderate|documentary_style|warm_mood|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,2,0.0,0.0,0.0
analysis.style_tags,static_shot|very_fast|medium_shot|documentary_style|warm_mood|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,1,0.0,0.0,0.0
analysis.style_tags,static_shot|very_fast|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,18,0.05555555555555555,0.0,-0.05555555555555555
analysis.style_tags,static_shot|very_fast|medium_shot|medium_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,5,0.2,0.0,-0.2
analysis.style_tags,static_shot|warm_tone|high_contrast|medium_shot|rule_of_thirds,1,0.0,0.0,0.0
analysis.style_tags,very_fast|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone|dolly_out,1,0.0,0.0,0.0
analysis.style_tags,very_fast|medium_shot|high_contrast|documentary_style|warm_mood|tilt_vertical|rule_of_thirds|narrative_style|warm_tone,2,0.0,0.0,0.0
analysis.style_tags,very_fast|medium_shot|medium_contrast|documentary_style|warm_mood|tilt_vertical|rule_of_thirds|narrative_style|warm_tone,2,0.0,0.0,0.0
